image_id,psnr_delta,psnr_improved,ssim_delta,ssim_improved,rmse_delta,rmse_improved,mae_delta,mae_improved,bias_delta,bias_improved,r2_delta,r2_improved,pearson_delta,pearson_improved
ntl_chip_Krasnoarmeysk_217,2.3007125854492188,1,0.012933492660522572,1,0.003127519972622301,1,0.0007368163205682997,1,-0.0005043326309532407,0,0.06210029125213623,1,0.03235530853271473,1
ntl_chip_Krasnodon_409,2.7507095336914062,1,0.026118695735931396,1,0.005367890000343401,1,0.002078595571220001,1,-1.6935988242039457e-05,0,0.032275795936584584,1,0.015477299690246582,1
ntl_chip_Kristianstad_263,1.872579574584961,1,0.06561672687530518,1,0.006732741370797102,1,0.0039877668023108985,1,-0.00038475527981061264,0,0.035516560077667236,1,0.0171087384223938,1
ntl_chip_Ksar_Belezma_1272,3.1659183502197266,1,0.054502904415130615,1,0.010738609358668397,1,0.0054281679913402,1,-0.0005201588573981944,0,0.03527629375457764,1,0.0166953206062318,1
ntl_chip_KwaDukuza_658,2.5980796813964844,1,0.03261262178420998,1,0.006153265014290799,1,0.002921536564827,1,-0.00024233313888538167,0,0.02011203765869163,1,0.009738028049468772,1
ntl_chip_Laurel_462,2.3523483276367188,1,0.039458632469177246,1,0.007598392665386203,1,0.0039052031934260992,1,-0.0007667473182663768,0,0.011982977390289307,1,0.005942344665527566,1
ntl_chip_Lobamba_301,2.5919532775878906,1,0.04056656360626221,1,0.006115347146987901,1,0.0029510017484427,1,-0.00035185630622426334,0,0.016918063163757324,1,0.008293747901916393,1
ntl_chip_Los_Blancos_683,1.656414031982429,1,0.015286803245544434,1,0.002399430610239499,1,0.0007897401228547998,1,-0.0006559579360327426,0,0.08892369270324707,1,0.04087269306182861,1
ntl_chip_Mahadeopur_1616,1.3529167175292969,1,0.062475383281707764,1,0.003888137638568899,1,0.0022259633988142014,1,-0.00027750056688087684,0,0.052164554595947266,1,0.02597600221633911,1
ntl_chip_Manlio_Fabio_Altamirano_1963,2.0469284057617188,1,0.05958664417266846,1,0.006209827959537503,1,0.003483008593320798,1,-0.000387442130886469,0,0.013392686843872181,1,0.006643950939178467,1
ntl_chip_Mao_305,0.8270893096923793,1,0.139795184135437,1,0.005208563059568398,1,0.004016391932964297,1,-0.0010577465873211499,0,0.08985280990600586,1,0.053769588470458984,1
ntl_chip_Marsberg_1236,2.2573661804199254,1,0.05443882942199707,1,0.0069750156253576,1,0.0032826242968440004,1,-0.0001135071506723549,0,0.04217684268951416,1,0.020537495613098256,1
ntl_chip_Mata_Roma_857,2.5889968872070384,1,0.026121437549591064,1,0.004083142615854799,1,0.0013930262066424006,1,-0.0003044390141439524,0,0.03510087728500377,1,0.016799867153167836,1
ntl_chip_Mechta_Ouled_Oulha_1279,3.2837448120117188,1,0.05705159902572621,1,0.011040575802326202,1,0.006432406604289998,1,-0.0006414863837562608,0,0.04124474525451671,1,0.019312918186187633,1
ntl_chip_Medinipur_1672,1.2382755279541016,1,0.05807304382324219,1,0.004417492076754601,1,0.0028719119727611993,1,-0.000491311860969226,0,0.0224798321723938,1,0.011283636093139648,1
ntl_chip_Mingjiujie_1053,0.9505729675292969,1,0.07235467433929443,1,0.0035401973873376985,1,0.0024513248354197,1,-0.00031271566695064454,0,0.030709683895111084,1,0.016073644161224365,1
ntl_chip_Molinella_1727,3.1018180847167933,1,0.07619184255599976,1,0.0121947638690472,1,0.0080590359866619,1,-0.0009321341640316,0,0.041558027267456055,1,0.019486308097839578,1
ntl_chip_Moncao_137,2.6016464233398438,1,0.06839364767074596,1,0.0088322777301073,1,0.005476152524352098,1,-0.0008422210594289309,0,0.024200141429901012,1,0.011793673038482777,1
ntl_chip_Mosquera_1168,0.8473472595214844,1,0.05366605520248413,1,0.0036393404006958008,1,0.0019545778632164,1,-3.7344580050999935e-06,0,0.08508920669555664,1,0.052215516567230225,1
ntl_chip_Mpika_661,1.7443466186523509,1,0.024857401847839355,1,0.0027251522988080996,1,0.0012173363938927997,1,-0.0003718811458384111,0,0.02997642755508423,1,0.014568805694579967,1
ntl_chip_Muscle_Shoals_514,2.486074447631836,1,0.051362812519073486,1,0.0068138800561428,1,0.0034618657082319017,1,-0.0006249987054615917,0,0.01989722251892101,1,0.009813368320464977,1
ntl_chip_Mutsamudu_1792,1.0523452758789062,1,0.061609745025634766,1,0.0025763381272554987,1,0.0017936127260327998,1,-0.0003446279370108825,0,0.08131182193756104,1,0.04236787557601929,1
ntl_chip_My_Luong_626,1.225261688232429,1,0.08003807067871094,1,0.007405437529087094,1,0.005449170246720304,1,-0.0018121644243364946,0,0.02024930715560902,1,0.01026904582977306,1
ntl_chip_Nagpur_1654,1.5074996948242188,1,0.055489957332611084,1,0.0044842883944511,1,0.0024530086666345007,1,-0.0011729283651220083,0,0.016262829303741233,1,0.008208334445953147,1
ntl_chip_Nairobi_1785,2.122945785522461,1,0.06364530324935924,1,0.007773060351610198,1,0.0048710908740759,1,-0.0015472894010599072,0,0.012055277824401855,1,0.00602400302886974,1
ntl_chip_Nang_Rong_326,1.058197021484375,1,0.09889650344848633,1,0.007335785776376703,1,0.004671383649110801,1,-0.0004997312717023161,0,0.07123011350631714,1,0.03823035955429077,1
ntl_chip_Nava_1965,2.868030548095703,1,0.01950126886367798,1,0.005733250640332702,1,0.0019413707777858006,1,-4.799649468623102e-05,0,0.012941420078277588,1,0.00630873441696167,1
ntl_chip_Ndele_1013,1.1031246185302734,1,0.05337405204772949,1,0.009417735040187905,1,0.005707591772079499,1,0.0003726388385984259,1,0.036788761615753174,1,0.01915585994720459,1
ntl_chip_Noblesville_573,2.3950138092041016,1,0.05613130331039429,1,0.0073718037456274,1,0.0046390006318689,1,-0.0016718707920517616,0,0.009539365768432728,1,0.004770100116729625,1
